Nutrient,Amount,Unit,DV
Calories,25,,
"Vitamin A, RAE",119.00,mcg,13 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",1424.00,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",3555.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.044,mg,4 %
"Riboflavin [Vitamin B2]",0.086,mg,7 %
"Niacin [Vitamin B3]",0.305,mg,2 %
"Pantothenic acid [Vitamin B5]",0.437,mg,9 %
"Vitamin B6",0.073,mg,4 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",97.00,mcg,24 %
"Folate, food",97.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",15.0,mg,17 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.43,mg,3 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.43,mg,
"Vitamin K",108.6,mcg,90 %
"Vitamin K1 [Phylloquinone]",108.6,mcg,
"Betaine",0.1,mg,
"Choline",15.3,mg,3 %
"Calcium",160.00,mg,12 %
"Copper",0.08,mg,9 %
"Iron",1.46,mg,8 %
"Magnesium",47.00,mg,11 %
"Manganese",0.321,mg,14 %
"Phosphorus",52.00,mg,4 %
"Potassium",369.00,mg,8 %
"Selenium",0.30,mcg,1 %
"Sodium",27.00,mg,1 %
"Zinc",0.47,mg,4 %
"Protein",2.58,g,5 %
"Carbohydrate",3.65,g,1 %
"Fiber",1.60,g,6 %
"Sugars",2.05,g,
"Net carbs",2.05,g,
"Fat",0.660,g,1 %
"Saturated fatty acids",0.086,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.003,g,
"Hexadecanoic acid",0.072,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.004,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.000,g,
"Monounsaturated fatty acids",0.049,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.046,g,
"Polyunsaturated fatty acids",0.319,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.002,g,
"Octadecadienoic acid",0.130,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.170,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",1.40,g,
"Caffeine",0.00,mg,
