Nutrient,Amount,Unit,DV
Calories,338,,
"Vitamin A, RAE",0,mcg,0 %
"Carotene, alpha",0,mcg,
"Carotene, beta",5,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",169,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.364,mg,30 %
"Riboflavin [Vitamin B2]",0.113,mg,9 %
"Niacin [Vitamin B3]",6.843,mg,43 %
"Pantothenic acid [Vitamin B5]",1.068,mg,21 %
"Vitamin B6",0.23,mg,14 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Folate, DFE [Vitamin B9]",45,mcg,11 %
"Folate, food",45,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0,mg,0 %
"Vitamin E (alpha-tocopherol)",0.79,mg,5 %
"Tocopherol, alpha",0.79,mg,
"Tocopherol, beta",0.25,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",1.71,mg,
"Tocotrienol, alpha",0.35,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",3.6,mcg,3 %
"Vitamin K1 [Phylloquinone]",3.6,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Calcium",27,mg,2 %
"Copper",0.51,mg,57 %
"Iron",4.44,mg,25 %
"Magnesium",136,mg,32 %
"Manganese",2.983,mg,130 %
"Phosphorus",401,mg,32 %
"Potassium",388,mg,8 %
"Selenium",11.7,mcg,21 %
"Sodium",8,mg,0 %
"Zinc",3.28,mg,30 %
"Protein",14.57,g,29 %
"Alanine",0.534,g,
"Arginine",0.687,g,
"Aspartic acid",0.757,g,
"Cystine",0.33,g,
"Glutamic acid",4.651,g,
"Glycine",0.602,g,
"Histidine",0.36,g,31 %
"Isoleucine",0.552,g,36 %
"Leucine",1.07,g,31 %
"Lysine",0.409,g,13 %
"Methionine",0.258,g,
"Phenylalanine",0.737,g,
"Proline",1.625,g,
"Serine",0.725,g,
"Threonine",0.443,g,27 %
"Tryptophan",0.132,g,32 %
"Tyrosine",0.377,g,
"Valine",0.681,g,35 %
"Phenylalanine + Tyrosine",1.114,g,41 %
"Methionine + Cysteine",0.588,g,38 %
"Carbohydrate",70.19,g,26 %
"Fiber",10.7,g,38 %
"Starch",53.92,g,
"Sugars",6.82,g,
"Fructose",0.24,g,
"Galactose",0,g,
"Glucose",0.84,g,
"Lactose",0,g,
"Maltose",5.15,g,
"Sucrose",0.59,g,
"Net carbs",59.49,g,
"0.07 g",,undefined,0.00
"Fat",2.43,g,3 %
"Saturated fatty acids",0.406,g,2 %
"Decanoic acid",0,g,
"Docosanoic acid",0.008,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0.004,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.37,g,
"Octadecanoic acid",0.024,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",0.445,g,
"Eicosenoic acid",0.019,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.003,g,
"Octadecenoic acid",0.423,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",1.258,g,
"α-linolenic acid n-3 (ALA)",0.07,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",1.193,g,
"Octadecatrienoic acid",0.065,g,
"Cholesterol",0,mg,0 %
"Ash",1.78,g,
"Water",11.02,g,
