Nutrient,Amount,Unit,DV
Calories,134,,
"Thiamin [Vitamin B1]",0.047,mg,4 %
"Riboflavin [Vitamin B2]",0.316,mg,24 %
"Niacin [Vitamin B3]",0.194,mg,1 %
"Pantothenic acid [Vitamin B5]",0.638,mg,13 %
"Vitamin B6",0.050,mg,3 %
"Vitamin B12 [Cobalamin]",0.16,mcg,7 %
"Folate, DFE [Vitamin B9]",8.00,mcg,2 %
"Folate, food",8.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",1.9,mg,2 %
"Calcium",261.00,mg,20 %
"Copper",0.02,mg,2 %
"Fluoride",8.5,mcg,
"Iron",0.19,mg,1 %
"Magnesium",24.00,mg,6 %
"Manganese",0.006,mg,0 %
"Phosphorus",203.00,mg,16 %
"Potassium",303.00,mg,6 %
"Selenium",2.30,mcg,4 %
"Sodium",106.00,mg,5 %
"Zinc",0.77,mg,7 %
"Protein",6.81,g,14 %
"Alanine",0.235,g,
"Arginine",0.247,g,
"Aspartic acid",0.517,g,
"Cystine",0.063,g,
"Glutamic acid",1.426,g,
"Glycine",0.144,g,
"Histidine",0.185,g,16 %
"Isoleucine",0.412,g,27 %
"Leucine",0.667,g,19 %
"Lysine",0.540,g,17 %
"Methionine",0.171,g,
"Phenylalanine",0.329,g,
"Proline",0.660,g,
"Serine",0.370,g,
"Threonine",0.307,g,19 %
"Tryptophan",0.096,g,24 %
"Tyrosine",0.329,g,
"Valine",0.456,g,23 %
"Phenylalanine + Tyrosine",0.658,g,24 %
"Methionine + Cysteine",0.234,g,15 %
"Carbohydrate",10.04,g,4 %
"Fiber",0.00,g,0 %
"Net carbs",10.04,g,
"Fat",7.560,g,10 %
"Saturated fatty acids",4.591,g,23 %
"Butanoic acid",0.195,g,
"Decanoic acid",0.110,g,
"Dodecanoic acid",0.161,g,
"Hexadecanoic acid",2.027,g,
"Hexanoic acid",0.134,g,
"Octadecanoic acid",0.921,g,
"Octanoic acid",0.054,g,
"Tetradecanoic acid",0.733,g,
"Monounsaturated fatty acids",2.335,g,
"Hexadecenoic acid",0.159,g,
"Octadecenoic acid",2.101,g,
"Polyunsaturated fatty acids",0.245,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.167,g,
"Octadecatrienoic acid",0.078,g,
"Cholesterol",29.00,mg,10 %
