Nutrient,Amount,Unit,DV
Calories,35,,
"Vitamin A, RAE",241.00,mcg,27 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",2873.00,mcg,
"Cryptoxanthin, beta",27.00,mcg,
"Lutein + zeaxanthin",6261.00,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.113,mg,9 %
"Riboflavin [Vitamin B2]",0.347,mg,27 %
"Niacin [Vitamin B3]",1.180,mg,7 %
"Pantothenic acid [Vitamin B5]",0.370,mg,7 %
"Vitamin B6",0.147,mg,9 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",62.00,mcg,16 %
"Folate, food",62.00,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",93.4,mg,104 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.66,mg,4 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.66,mg,
"Tocopherol, beta",0.00,mg,
"Tocopherol, delta",0.00,mg,
"Tocopherol, gamma",0.14,mg,
"Tocotrienol, alpha",0.00,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",389.6,mcg,325 %
"Vitamin K1 [Phylloquinone]",389.6,mcg,
"Vitamin K2 [Menaquinone]",0.0,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",0.3,mg,
"Choline",0.5,mg,0 %
"Calcium",254.00,mg,20 %
"Copper",0.05,mg,6 %
"Iron",1.60,mg,9 %
"Magnesium",33.00,mg,8 %
"Manganese",0.920,mg,40 %
"Phosphorus",55.00,mg,4 %
"Potassium",348.00,mg,7 %
"Selenium",0.90,mcg,2 %
"Sodium",53.00,mg,2 %
"Zinc",0.39,mg,4 %
"Protein",2.92,g,6 %
"Alanine",0.147,g,
"Arginine",0.163,g,
"Aspartic acid",0.262,g,
"Cystine",0.038,g,
"Glutamic acid",0.331,g,
"Glycine",0.141,g,
"Histidine",0.172,g,15 %
"Isoleucine",0.175,g,11 %
"Leucine",0.205,g,6 %
"Lysine",0.175,g,6 %
"Methionine",0.029,g,
"Phenylalanine",0.150,g,
"Proline",0.174,g,
"Serine",0.123,g,
"Threonine",0.131,g,8 %
"Tryptophan",0.035,g,9 %
"Tyrosine",0.103,g,
"Valine",0.159,g,8 %
"Phenylalanine + Tyrosine",0.253,g,9 %
"Methionine + Cysteine",0.029,g,2 %
"Carbohydrate",4.42,g,2 %
"Fiber",4.10,g,15 %
"Sugars",0.99,g,
"Fructose",0.41,g,
"Galactose",0.00,g,
"Glucose",0.40,g,
"Lactose",0.00,g,
"Maltose",0.00,g,
"Sucrose",0.18,g,
"Net carbs",0.32,g,
"Fat",1.490,g,2 %
"Saturated fatty acids",0.178,g,1 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.006,g,
"Hexadecanoic acid",0.158,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.006,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.006,g,
"Monounsaturated fatty acids",0.104,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.000,g,
"Octadecenoic acid",0.104,g,
"Polyunsaturated fatty acids",0.673,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.003,g,
"Octadecadienoic acid",0.291,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.378,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Alcohol, ethyl",0.0,g,
"Ash",1.54,g,
"Caffeine",0.00,mg,
