Nutrient,Amount,Unit,DV
Calories,313,,
"Vitamin A, RAE",425.67,mcg,47 %
"Carotene, alpha",1598.54,mcg,
"Carotene, beta",4240.82,mcg,
"Cryptoxanthin, beta",137.11,mcg,
"Lutein + zeaxanthin",131.27,mcg,
"Lycopene",0.67,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.301,mg,25 %
"Riboflavin [Vitamin B2]",0.106,mg,8 %
"Niacin [Vitamin B3]",3.554,mg,22 %
"Pantothenic acid [Vitamin B5]",0.613,mg,12 %
"Vitamin B6",0.332,mg,20 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",51.9,mcg,13 %
"Folate, food",51.9,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",34,mg,38 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.19,mg,8 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.19,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.15,mg,
"Tocotrienol, alpha",0.19,mg,
"Tocotrienol, beta",0.03,mg,
"Tocotrienol, delta",0.02,mg,
"Tocotrienol, gamma",0.52,mg,
"Vitamin K",8.6,mcg,7 %
"Vitamin K1 [Phylloquinone]",8.6,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.7,mg,
"Choline",14.5,mg,3 %
"Calcium",75.95,mg,6 %
"Copper",0.36,mg,40 %
"Fluoride",1.7,mcg,
"Iron",2.67,mg,15 %
"Magnesium",79.2,mg,19 %
"Manganese",1.519,mg,66 %
"Phosphorus",240.46,mg,19 %
"Potassium",540.76,mg,12 %
"Selenium",7.91,mcg,14 %
"Sodium",1007.63,mg,44 %
"Zinc",1.61,mg,15 %
"Protein",11.24,g,22 %
"Alanine",0.532,g,
"Arginine",0.64,g,
"Aspartic acid",1.25,g,
"Cystine",0.139,g,
"Glutamic acid",1.893,g,
"Glycine",0.443,g,
"Histidine",0.276,g,24 %
"Hydroxyproline",0,g,
"Isoleucine",0.476,g,31 %
"Leucine",0.854,g,25 %
"Lysine",0.623,g,20 %
"Methionine",0.161,g,
"Phenylalanine",0.578,g,
"Proline",0.553,g,
"Serine",0.597,g,
"Threonine",0.447,g,27 %
"Tryptophan",0.123,g,30 %
"Tyrosine",0.288,g,
"Valine",0.589,g,30 %
"Phenylalanine + Tyrosine",0.866,g,32 %
"Methionine + Cysteine",0.161,g,10 %
"Carbohydrate",59.63,g,22 %
"Fiber",10.44,g,37 %
"Starch",27.48,g,
"Sugars",10.33,g,
"Fructose",0.95,g,
"Galactose",0,g,
"Glucose",1.04,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",4.72,g,
"Net carbs",49.19,g,
"0.01 g",0.36 g,undefined,36.00
"Fat",4.203,g,5 %
"Saturated fatty acids",0.601,g,3 %
"Butanoic acid",0,g,
"Decanoic acid",0.006,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.003,g,
"Eicosanoic acid",0.006,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.307,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.071,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0.001,g,
"Tetracosanoic acid",0.006,g,
"Tetradecanoic acid",0.014,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",1.37,g,
"Cis-hexadecenoic acid",0.001,g,
"Cis-octadecenoic acid",0.41,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.004,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.014,g,
"Octadecenoic acid",0.432,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.813,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.36,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.587,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.087,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",1.93,mg,
"Alcohol, ethyl",0,g,
"Ash",2.98,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",174.06,g,
