Nutrient,Amount,Unit,DV
Calories,37,,
"Vitamin A, RAE",49.37,mcg,5 %
"Carotene, alpha",0.01,mcg,
"Carotene, beta",592.52,mcg,
"Cryptoxanthin, beta",0.9,mcg,
"Lutein + zeaxanthin",1063.39,mcg,
"Lycopene",0.01,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.276,mg,23 %
"Riboflavin [Vitamin B2]",0.298,mg,23 %
"Niacin [Vitamin B3]",1.573,mg,10 %
"Pantothenic acid [Vitamin B5]",0.022,mg,0 %
"Vitamin B6",0.325,mg,19 %
"Vitamin B12 [Cobalamin]",1.25,mcg,52 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",16.51,mcg,4 %
"Folate, food",16.75,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",1.3,mg,1 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.38,mg,3 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.38,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.13,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.01,mg,
"Vitamin K",32.2,mcg,27 %
"Vitamin K1 [Phylloquinone]",32.2,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",9.9,mg,
"Choline",2.8,mg,1 %
"Calcium",36.85,mg,3 %
"Copper",0.04,mg,4 %
"Fluoride",0,mcg,
"Iron",0.37,mg,2 %
"Magnesium",11.88,mg,3 %
"Manganese",0.253,mg,11 %
"Phosphorus",20.23,mg,2 %
"Potassium",61.99,mg,1 %
"Selenium",0.98,mcg,2 %
"Sodium",117.82,mg,5 %
"Zinc",0.2,mg,2 %
"Protein",2.87,g,6 %
"Alanine",0.056,g,
"Arginine",0.138,g,
"Aspartic acid",0.136,g,
"Cystine",0.015,g,
"Glutamic acid",0.204,g,
"Glycine",0.056,g,
"Histidine",0.027,g,2 %
"Hydroxyproline",0,g,
"Isoleucine",0.049,g,3 %
"Leucine",0.078,g,2 %
"Lysine",0.074,g,2 %
"Methionine",0.017,g,
"Phenylalanine",0.061,g,
"Proline",0.054,g,
"Serine",0.058,g,
"Threonine",0.049,g,3 %
"Tryptophan",0.016,g,4 %
"Tyrosine",0.041,g,
"Valine",0.054,g,3 %
"Phenylalanine + Tyrosine",0.102,g,4 %
"Methionine + Cysteine",0.017,g,1 %
"Carbohydrate",3.78,g,1 %
"Fiber",1.01,g,4 %
"Starch",0.02,g,
"Sugars",0.91,g,
"Fructose",0.08,g,
"Galactose",0,g,
"Glucose",0.08,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.06,g,
"Net carbs",2.77,g,
"",0.00 g,undefined,
"Fat",1.341,g,2 %
"Saturated fatty acids",0.299,g,1 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.055,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.018,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",0.243,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.008,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.233,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.458,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.004,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0.004,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.438,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.012,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Beta-sitosterol",1.39,mg,
"Campesterol",0.21,mg,
"Cholesterol",0.56,mg,0 %
"Phytosterols",0.12,mg,
"Stigmasterol",0,mg,
"Alcohol, ethyl",0,g,
"Ash",0.36,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",17.12,g,
