Nutrient,Amount,Unit,DV
Calories,119,,
"Vitamin A, RAE",324.13,mcg,36 %
"Carotene, alpha",24.68,mcg,
"Carotene, beta",2698,mcg,
"Cryptoxanthin, beta",191.96,mcg,
"Lutein + zeaxanthin",3817.9,mcg,
"Lutein",115.69,mcg,
"Lycopene",0.2,mcg,
"Retinol",90.04,mcg,
"Zeaxanthin",115.19,mcg,
"cis-Lutein/Zeaxanthin",28.67,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.096,mg,8 %
"Riboflavin [Vitamin B2]",0.318,mg,24 %
"Niacin [Vitamin B3]",0.55,mg,3 %
"Pantothenic acid [Vitamin B5]",0.157,mg,3 %
"Vitamin B6",0.213,mg,13 %
"Vitamin B12 [Cobalamin]",0.51,mcg,21 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",54.49,mcg,14 %
"Folate, food",54.49,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",26.6,mg,30 %
"Vitamin D",1.24,mcg,6 %
"Vitamin D2",0,mcg,
"Vitamin D3",1.24,mcg,
"Vitamin E (alpha-tocopherol)",1.71,mg,11 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.71,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.15,mg,
"Tocotrienol, alpha",0.08,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.02,mg,
"Vitamin K",108.6,mcg,90 %
"Vitamin K1 [Phylloquinone]",108.6,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",33.6,mg,
"Choline",178.6,mg,32 %
"Calcium",75.16,mg,6 %
"Copper",0.07,mg,8 %
"Fluoride",0.3,mcg,
"Iodine",24.7,mcg,16 %
"Iron",1.95,mg,11 %
"Magnesium",35.79,mg,9 %
"Manganese",0.326,mg,14 %
"Phosphorus",127.55,mg,10 %
"Potassium",287.46,mg,6 %
"Selenium",17.95,mcg,33 %
"Sodium",448.25,mg,19 %
"Zinc",0.98,mg,9 %
"Protein",8.11,g,16 %
"Alanine",0.424,g,
"Arginine",0.609,g,
"Aspartic acid",0.897,g,
"Cystine",0.019,g,
"Cysteine",0.19,g,
"Glutamic acid",1.13,g,
"Glycine",0.297,g,
"Histidine",0.168,g,15 %
"Hydroxyproline",0,g,
"Isoleucine",0.367,g,24 %
"Leucine",0.621,g,18 %
"Lysine",0.523,g,17 %
"Methionine",0.231,g,
"Phenylalanine",0.42,g,
"Proline",0.397,g,
"Serine",0.538,g,
"Threonine",0.385,g,24 %
"Tryptophan",0.117,g,29 %
"Tyrosine",0.333,g,
"Valine",0.45,g,23 %
"Phenylalanine + Tyrosine",0.753,g,28 %
"Methionine + Cysteine",0.421,g,27 %
"Carbohydrate",7.34,g,3 %
"Fiber",2.37,g,8 %
"Starch",0,g,
"Sugars",2.68,g,
"Sugars, added",0.75,g,
"Fructose",0.82,g,
"Galactose",0,g,
"Glucose",0.91,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.3,g,
"Net carbs",4.97,g,
"0.01 g",0.75 g,undefined,75.00
"Fat",7.121,g,9 %
"Saturated fatty acids",1.919,g,10 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.002,g,
"Eicosanoic acid",0.001,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",1.227,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.42,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.02,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",3.024,g,
"Cis-hexadecenoic acid",0.12,g,
"Cis-octadecenoic acid",1.728,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.003,g,
"Octadecenoic acid",0.046,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.291,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.73,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-6 acid",0.01,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.16,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.043,g,
"18:2 c",0.73,g,
"18:3 c",0.01,g,
"20:3 c",0.01,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Cholesterol",206.73,mg,69 %
"Phytosterols",6.03,mg,
"25-hydroxycholecalciferol",0.28,mcg,
"Alcohol, ethyl",0,g,
"Ash",1.59,g,
"Caffeine",0,mg,
"Carbohydrate, by summation",0.1,g,
"Choline, free",0.3,mg,
"Choline, from glycerophosphocholine",0.1,mg,
"Choline, from phosphocholine",155.43,mg,
"Choline, from phosphotidyl choline",0.1,mg,
"Choline, from sphingomyelin",12.63,mg,
"Cryptoxanthin, alpha",6.54,mcg,
"Nitrogen",1,g,
"Theobromine",0,mg,
"Water",96.66,g,
