Nutrient,Amount,Unit,DV
Calories,299,,
"Vitamin A, RAE",166.59,mcg,19 %
"Carotene, alpha",81.95,mcg,
"Carotene, beta",1474.46,mcg,
"Cryptoxanthin, beta",343.62,mcg,
"Lutein + zeaxanthin",2792.33,mcg,
"Lycopene",0.77,mcg,
"Retinol",25.91,mcg,
"Thiamin [Vitamin B1]",0.194,mg,16 %
"Riboflavin [Vitamin B2]",0.417,mg,32 %
"Niacin [Vitamin B3]",7.802,mg,49 %
"Pantothenic acid [Vitamin B5]",1.659,mg,33 %
"Vitamin B6",0.893,mg,53 %
"Vitamin B12 [Cobalamin]",1.41,mcg,59 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",58.87,mcg,15 %
"Folate, food",58.79,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",63.4,mg,70 %
"Vitamin D",0.47,mcg,2 %
"Vitamin E (alpha-tocopherol)",3.08,mg,21 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.08,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0.02,mg,
"Tocopherol, gamma",0.43,mg,
"Tocotrienol, alpha",0.18,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.14,mg,
"Vitamin K",16.1,mcg,13 %
"Vitamin K1 [Phylloquinone]",13.3,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",8.7,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",82.5,mg,15 %
"Calcium",107.41,mg,8 %
"Copper",0.33,mg,37 %
"Fluoride",0.4,mcg,
"Iodine",0,mcg,0 %
"Iron",3.66,mg,20 %
"Magnesium",72.54,mg,17 %
"Manganese",0.564,mg,25 %
"Phosphorus",333.22,mg,27 %
"Potassium",972.65,mg,21 %
"Selenium",24.58,mcg,45 %
"Sodium",757.42,mg,33 %
"Zinc",3.94,mg,36 %
"Protein",26.07,g,52 %
"Alanine",1.504,g,
"Arginine",1.834,g,
"Aspartic acid",2.573,g,
"Cystine",0.272,g,
"Cysteine",0,g,
"Glutamic acid",4.016,g,
"Glycine",1.328,g,
"Histidine",0.712,g,62 %
"Hydroxyproline",0.236,g,
"Isoleucine",1.088,g,70 %
"Leucine",1.986,g,58 %
"Lysine",2.125,g,68 %
"Methionine",0.684,g,
"Phenylalanine",0.974,g,
"Proline",1.15,g,
"Serine",1.05,g,
"Threonine",1.094,g,67 %
"Tryptophan",0.278,g,68 %
"Tyrosine",0.851,g,
"Valine",1.154,g,59 %
"Phenylalanine + Tyrosine",1.825,g,68 %
"Methionine + Cysteine",0.684,g,44 %
"Carbohydrate",16.89,g,6 %
"Fiber",5.06,g,18 %
"Starch",0,g,
"Sugars",5.76,g,
"Fructose",4.09,g,
"Galactose",0.01,g,
"Glucose",3.65,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.44,g,
"Net carbs",11.83,g,
"0.27 g",2.65 g,undefined,9.85
"Fat",15.933,g,20 %
"Saturated fatty acids",3.431,g,17 %
"Butanoic acid",0.004,g,
"Decanoic acid",0.024,g,
"Docosanoic acid",0.011,g,
"Dodecanoic acid",0.02,g,
"Eicosanoic acid",0.013,g,
"Heptadecanoic acid",0.026,g,
"Hexadecanoic acid",1.9,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.699,g,
"Octanoic acid",0.002,g,
"Pentadecanoic acid",0.013,g,
"Tetracosanoic acid",0.005,g,
"Tetradecanoic acid",0.09,g,
"Tridecanoic acid",0.001,g,
"Monounsaturated fatty acids",6.785,g,
"Cis-hexadecenoic acid",0.314,g,
"Cis-octadecenoic acid",3.008,g,
"Docosenoic acid",0.001,g,
"Docosenoic cis acid",0.001,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.034,g,
"Heptadecenoic acid",0.016,g,
"Hexadecenoic acid",0.326,g,
"Octadecenoic acid",3.098,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.007,g,
"Tetradecenoic acid",0.016,g,
"Trans-hexadecenoic acid",0.007,g,
"Trans-octadecenoic acid",0.087,g,
"Polyunsaturated fatty acids",4.006,g,
"α-linolenic acid n-3 (ALA)",0.24,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.018,g,
"Linoleic acid n-6 (LA)",2.61,g,
"Docosahexaenoic n-3 acid (DHA)",0.009,g,
"Docosapentaenoic n-3 acid (DPA)",0.012,g,
"Docosatetraenoic acid",0.024,g,
"Eicosadienoic acid",0.014,g,
"Eicosadienoic n-3 acid",0.002,g,
"Eicosadienoic n-6 acid",0.012,g,
"Eicosapentaenoic n-3 acid (EPA)",0.006,g,
"Eicosatetraenoic acid",0.128,g,
"Octadecadienoic CLAs acid",0.015,g,
"Octadecadienoic acid",3.051,g,
"Octadecatetraenoic acid",0.001,g,
"Octadecatrienoic acid",0.265,g,
"Trans-octadecadienoic acid",0.038,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.132,g,
"Fatty acids, total trans-monoenoic",0.093,g,
"Fatty acids, total trans-polyenoic",0.038,g,
"Cholesterol",87.16,mg,29 %
"Phytosterols",10.63,mg,
"Alcohol, ethyl",0,g,
"Ash",4.47,g,
"Caffeine",0,mg,
"Nitrogen",0.12,g,
"Theobromine",0,mg,
"Water",330.81,g,
