Nutrient,Amount,Unit,DV
Calories,701,,
"Vitamin A, RAE",1773.22,mcg,197 %
"Carotene, alpha",17.54,mcg,
"Carotene, beta",21278.51,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.526,mg,44 %
"Riboflavin [Vitamin B2]",1.828,mg,141 %
"Niacin [Vitamin B3]",3.135,mg,20 %
"Pantothenic acid [Vitamin B5]",3.358,mg,67 %
"Vitamin B6",0.704,mg,41 %
"Vitamin B12 [Cobalamin]",0.51,mcg,21 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",66.5,mcg,17 %
"Folate, food",39.5,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",6.5,mg,7 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",4.15,mg,28 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",4.15,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0,mg,
"Tocotrienol, alpha",0.03,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",6.7,mcg,6 %
"Vitamin K1 [Phylloquinone]",4.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",76.6,mg,14 %
"Calcium",544.93,mg,42 %
"Copper",1.18,mg,131 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",8.7,mg,48 %
"Magnesium",472.28,mg,112 %
"Manganese",2.807,mg,122 %
"Phosphorus",701.86,mg,56 %
"Potassium",2144.22,mg,46 %
"Selenium",70.45,mcg,128 %
"Sodium",1455.1,mg,63 %
"Zinc",3.32,mg,30 %
"Protein",55.2,g,110 %
"Alanine",3.166,g,
"Arginine",3.525,g,
"Aspartic acid",6.616,g,
"Cystine",1.254,g,
"Cysteine",0.33,g,
"Glutamic acid",8.612,g,
"Glycine",2.146,g,
"Histidine",1.36,g,119 %
"Hydroxyproline",0.023,g,
"Isoleucine",2.99,g,193 %
"Leucine",4.873,g,142 %
"Lysine",3.758,g,121 %
"Methionine",1.586,g,
"Phenylalanine",3.092,g,
"Proline",2.549,g,
"Serine",3.584,g,
"Threonine",2.386,g,146 %
"Tryptophan",0.719,g,176 %
"Tyrosine",2.001,g,
"Valine",3.546,g,181 %
"Phenylalanine + Tyrosine",5.093,g,189 %
"Methionine + Cysteine",3.17,g,204 %
"Carbohydrate",89.15,g,32 %
"Fiber",30.89,g,110 %
"Starch",31.62,g,
"Sugars",18.01,g,
"Fructose",1.96,g,
"Galactose",0.21,g,
"Glucose",3.42,g,
"Lactose",0.21,g,
"Maltose",0.21,g,
"Sucrose",6.51,g,
"Net carbs",58.26,g,
"Fat",17.158,g,22 %
"Saturated fatty acids",3.849,g,19 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.045,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.003,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",6.239,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.003,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",5.583,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.033,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.003,g,
"Fatty acids, total trans",0,g,
"Cholesterol",6.6,mg,2 %
"Phytosterols",30,mg,
"Alcohol, ethyl",3.4,g,
"Ash",4.37,g,
"Caffeine",23,mg,
"Theobromine",205.7,mg,
"Water",700.52,g,
