Nutrient,Amount,Unit,DV
Calories,85,,
"Vitamin A, RAE",4.2,mcg,0 %
"Carotene, alpha",0.27,mcg,
"Carotene, beta",1,mcg,
"Cryptoxanthin, beta",0.3,mcg,
"Lutein + zeaxanthin",2.56,mcg,
"Lutein",5.26,mcg,
"Lycopene",0,mcg,
"Retinol",4.09,mcg,
"Zeaxanthin",5.24,mcg,
"cis-Lutein/Zeaxanthin",1.3,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.052,mg,4 %
"Riboflavin [Vitamin B2]",0.019,mg,1 %
"Niacin [Vitamin B3]",0.153,mg,1 %
"Pantothenic acid [Vitamin B5]",0.113,mg,2 %
"Vitamin B6",0.052,mg,3 %
"Vitamin B12 [Cobalamin]",0.03,mcg,1 %
"Folate, DFE [Vitamin B9]",2.91,mcg,1 %
"Folate, food",2.91,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.1,mg,0 %
"Vitamin D",0.06,mcg,0 %
"Vitamin D2",0,mcg,
"Vitamin D3",0.06,mcg,
"Vitamin E (alpha-tocopherol)",0.12,mg,1 %
"Tocopherol, alpha",0.12,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.04,mg,
"Tocopherol, gamma",0.62,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0.01,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.02,mg,
"Vitamin K",4.3,mcg,4 %
"Vitamin K1 [Phylloquinone]",4,mcg,
"Betaine",0,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",7.7,mg,1 %
"Calcium",8.05,mg,1 %
"Copper",0.3,mg,33 %
"Fluoride",0,mcg,
"Iodine",1.12,mcg,1 %
"Iron",1.12,mg,6 %
"Magnesium",39.91,mg,10 %
"Manganese",0.249,mg,11 %
"Phosphorus",81.18,mg,6 %
"Potassium",101.77,mg,2 %
"Selenium",3.15,mcg,6 %
"Sodium",73.36,mg,3 %
"Zinc",0.71,mg,6 %
"Protein",2.59,g,5 %
"Alanine",0.119,g,
"Arginine",0.274,g,
"Aspartic acid",0.254,g,
"Cystine",0.048,g,
"Cysteine",0.01,g,
"Glutamic acid",0.586,g,
"Glycine",0.125,g,
"Histidine",0.062,g,5 %
"Hydroxyproline",0,g,
"Isoleucine",0.112,g,7 %
"Leucine",0.205,g,6 %
"Lysine",0.135,g,4 %
"Methionine",0.054,g,
"Phenylalanine",0.134,g,
"Proline",0.114,g,
"Serine",0.154,g,
"Threonine",0.101,g,6 %
"Tryptophan",0.039,g,10 %
"Tyrosine",0.077,g,
"Valine",0.154,g,8 %
"Phenylalanine + Tyrosine",0.211,g,8 %
"Methionine + Cysteine",0.064,g,4 %
"Carbohydrate",10.13,g,4 %
"Fiber",1.61,g,6 %
"Starch",2.73,g,
"Sugars",0.85,g,
"Fructose",0.01,g,
"Galactose",0,g,
"Glucose",0.01,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.68,g,
"Net carbs",8.52,g,
"",0.03 g,undefined,
"Fat",6.54,g,8 %
"Saturated fatty acids",1.695,g,8 %
"Butanoic acid",0,g,
"Decanoic acid",0.002,g,
"Docosanoic acid",0.02,g,
"Dodecanoic acid",0.002,g,
"Eicosanoic acid",0.031,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",0.509,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.394,g,
"Octanoic acid",0.002,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0.012,g,
"Tetradecanoic acid",0.003,g,
"Monounsaturated fatty acids",3.221,g,
"Cis-hexadecenoic acid",0.005,g,
"Cis-octadecenoic acid",0.077,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.016,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.016,g,
"Octadecenoic acid",2.737,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",0.997,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.03,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.906,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.007,g,
"18:2 c",0.03,g,
"18:3 c",0,g,
"20:3 c",0,g,
"Fatty acids, total trans",0.004,g,
"Beta-sitosterol",13.15,mg,
"Campesterol",1.05,mg,
"Cholesterol",9.71,mg,3 %
"Stigmasterol",0,mg,
"25-hydroxycholecalciferol",0.01,mcg,
"Alcohol, ethyl",0.1,g,
"Ash",0.32,g,
"Caffeine",1.66,mg,
"Carbohydrate, by summation",0,g,
"Choline, free",0.01,mg,
"Choline, from glycerophosphocholine",0,mg,
"Choline, from phosphocholine",7.06,mg,
"Choline, from phosphotidyl choline",0,mg,
"Choline, from sphingomyelin",0.57,mg,
"Cryptoxanthin, alpha",0.3,mcg,
"Nitrogen",0.05,g,
"Theobromine",19.05,mg,
"Water",2.5,g,
