Nutrient,Amount,Unit,DV
Calories,386,,
"Vitamin A, RAE",202.82,mcg,23 %
"Carotene, alpha",57.02,mcg,
"Carotene, beta",1991.47,mcg,
"Cryptoxanthin, beta",496.18,mcg,
"Lutein + zeaxanthin",213.07,mcg,
"Lycopene",8150.12,mcg,
"Retinol",13.61,mcg,
"Thiamin [Vitamin B1]",0.271,mg,23 %
"Riboflavin [Vitamin B2]",0.464,mg,36 %
"Niacin [Vitamin B3]",19.652,mg,123 %
"Pantothenic acid [Vitamin B5]",2.67,mg,53 %
"Vitamin B6",1.762,mg,104 %
"Vitamin B12 [Cobalamin]",0.34,mcg,14 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",85.03,mcg,21 %
"Folate, food",84.47,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",113.9,mg,127 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",5.21,mg,35 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",5.21,mg,
"Tocopherol, beta",0.04,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.5,mg,
"Tocotrienol, alpha",0.08,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.04,mg,
"Vitamin K",22.4,mcg,19 %
"Vitamin K1 [Phylloquinone]",9.6,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",11,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",160.5,mg,29 %
"Calcium",67.98,mg,5 %
"Copper",0.32,mg,36 %
"Fluoride",0.5,mcg,
"Iodine",0,mcg,0 %
"Iron",2.78,mg,15 %
"Magnesium",114.87,mg,27 %
"Manganese",0.459,mg,20 %
"Phosphorus",477.07,mg,38 %
"Potassium",1242.49,mg,26 %
"Selenium",39.77,mcg,72 %
"Sodium",896.51,mg,39 %
"Zinc",2.24,mg,20 %
"Protein",42.61,g,85 %
"Alanine",2.073,g,
"Arginine",2.475,g,
"Aspartic acid",3.731,g,
"Cystine",0.395,g,
"Cysteine",0,g,
"Glutamic acid",6.013,g,
"Glycine",1.591,g,
"Histidine",1.319,g,115 %
"Hydroxyproline",0,g,
"Isoleucine",1.736,g,112 %
"Leucine",2.922,g,85 %
"Lysine",3.378,g,109 %
"Methionine",0.907,g,
"Phenylalanine",1.481,g,
"Proline",1.186,g,
"Serine",1.4,g,
"Threonine",1.621,g,99 %
"Tryptophan",0.456,g,112 %
"Tyrosine",1.272,g,
"Valine",1.847,g,94 %
"Phenylalanine + Tyrosine",2.753,g,102 %
"Methionine + Cysteine",0.907,g,58 %
"Carbohydrate",22.19,g,8 %
"Fiber",7.06,g,25 %
"Starch",0.06,g,
"Sugars",10.11,g,
"Fructose",4.13,g,
"Galactose",0,g,
"Glucose",4.01,g,
"Lactose",0,g,
"Maltose",0.08,g,
"Sucrose",0.54,g,
"Net carbs",15.13,g,
"0.05 g",0.51 g,undefined,10.14
"Fat",15.481,g,20 %
"Saturated fatty acids",2.732,g,14 %
"Butanoic acid",0,g,
"Decanoic acid",0.032,g,
"Docosanoic acid",0.006,g,
"Dodecanoic acid",0.008,g,
"Eicosanoic acid",0.003,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",1.567,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.472,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.025,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",6.78,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.94,g,
"Docosenoic acid",0.012,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.149,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.138,g,
"Octadecenoic acid",6.407,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",3.102,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.018,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.076,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",2.859,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.086,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.011,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",110.53,mg,37 %
"Phytosterols",9.29,mg,
"Alcohol, ethyl",0,g,
"Ash",3.91,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",325.25,g,
