Nutrient,Amount,Unit,DV
Calories,260,,
"Vitamin A, RAE",1.45,mcg,0 %
"Carotene, alpha",0.88,mcg,
"Carotene, beta",15.92,mcg,
"Cryptoxanthin, beta",1.84,mcg,
"Lutein + zeaxanthin",32.98,mcg,
"Lycopene",2.18,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.013,mg,1 %
"Riboflavin [Vitamin B2]",0.038,mg,3 %
"Niacin [Vitamin B3]",0.127,mg,1 %
"Pantothenic acid [Vitamin B5]",0.042,mg,1 %
"Vitamin B6",0.047,mg,3 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",5.36,mcg,1 %
"Folate, food",5.77,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",3.7,mg,4 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.27,mg,2 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.27,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.23,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",20,mcg,17 %
"Vitamin K1 [Phylloquinone]",20,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.4,mg,
"Choline",2.2,mg,0 %
"Calcium",186.45,mg,14 %
"Copper",0.04,mg,4 %
"Fluoride",0.2,mcg,
"Iron",4.56,mg,25 %
"Magnesium",11.4,mg,3 %
"Manganese",0.235,mg,10 %
"Phosphorus",14.69,mg,1 %
"Potassium",146.55,mg,3 %
"Selenium",0.55,mcg,1 %
"Sodium",1117.04,mg,49 %
"Zinc",0.18,mg,2 %
"Protein",29.03,g,58 %
"Alanine",0.029,g,
"Arginine",0.075,g,
"Aspartic acid",0.073,g,
"Cystine",0.008,g,
"Glutamic acid",0.105,g,
"Glycine",0.029,g,
"Histidine",0.011,g,1 %
"Hydroxyproline",0,g,
"Isoleucine",0.023,g,1 %
"Leucine",0.043,g,1 %
"Lysine",0.032,g,1 %
"Methionine",0.008,g,
"Phenylalanine",0.029,g,
"Proline",0.065,g,
"Serine",0.019,g,
"Threonine",0.017,g,1 %
"Tryptophan",0.007,g,2 %
"Tyrosine",0.02,g,
"Valine",0.033,g,2 %
"Phenylalanine + Tyrosine",0.049,g,2 %
"Methionine + Cysteine",0.008,g,1 %
"Carbohydrate",14.65,g,5 %
"Fiber",2.92,g,10 %
"Sugars",1.36,g,
"Fructose",0.62,g,
"Galactose",0,g,
"Glucose",0.64,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.08,g,
"Net carbs",11.73,g,
"0.01 g",,undefined,0.00
"Fat",9.466,g,12 %
"Saturated fatty acids",2.153,g,11 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.003,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.022,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.013,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",2.571,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.021,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.001,g,
"Octadecenoic acid",0.021,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.132,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0.001,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.02,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.016,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",173.85,mg,58 %
"Phytosterols",3.48,mg,
"Alcohol, ethyl",0,g,
"Ash",1.09,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",9.65,g,
