Nutrient,Amount,Unit,DV
Calories,291,,
"Vitamin A, RAE",40.93,mcg,5 %
"Carotene, alpha",202.49,mcg,
"Carotene, beta",402.05,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",36.22,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",4.356,mg,363 %
"Riboflavin [Vitamin B2]",4.455,mg,343 %
"Niacin [Vitamin B3]",24.188,mg,151 %
"Pantothenic acid [Vitamin B5]",0.703,mg,14 %
"Vitamin B6",4.848,mg,285 %
"Vitamin B12 [Cobalamin]",19.15,mcg,798 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",104.72,mcg,26 %
"Folate, food",76.02,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",54.2,mg,60 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.39,mg,3 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.39,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0,mg,
"Tocotrienol, alpha",0.05,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",126.2,mcg,105 %
"Vitamin K1 [Phylloquinone]",91.5,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.8,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",65.9,mg,12 %
"Calcium",548.21,mg,42 %
"Copper",0.54,mg,60 %
"Fluoride",2.5,mcg,
"Iodine",0,mcg,0 %
"Iron",11.53,mg,64 %
"Magnesium",105.76,mg,25 %
"Manganese",1.641,mg,71 %
"Phosphorus",278.65,mg,22 %
"Potassium",786.22,mg,17 %
"Selenium",16.6,mcg,30 %
"Sodium",1351.7,mg,59 %
"Zinc",2.36,mg,21 %
"Protein",19.43,g,39 %
"Alanine",0.619,g,
"Arginine",1.149,g,
"Aspartic acid",1.647,g,
"Cystine",0.064,g,
"Cysteine",0.01,g,
"Glutamic acid",2.958,g,
"Glycine",0.58,g,
"Histidine",0.339,g,30 %
"Hydroxyproline",0,g,
"Isoleucine",0.652,g,42 %
"Leucine",1.051,g,31 %
"Lysine",0.731,g,24 %
"Methionine",0.171,g,
"Phenylalanine",0.651,g,
"Proline",0.829,g,
"Serine",0.778,g,
"Threonine",0.611,g,37 %
"Tryptophan",0.198,g,48 %
"Tyrosine",0.512,g,
"Valine",0.705,g,36 %
"Phenylalanine + Tyrosine",1.163,g,43 %
"Methionine + Cysteine",0.245,g,16 %
"Carbohydrate",31.59,g,11 %
"Fiber",8.62,g,31 %
"Starch",0,g,
"Sugars",11.24,g,
"Fructose",2.17,g,
"Galactose",0,g,
"Glucose",2.41,g,
"Lactose",0,g,
"Maltose",0.03,g,
"Sucrose",0.82,g,
"Net carbs",22.97,g,
"",0.01 g,undefined,
"Fat",11.535,g,15 %
"Saturated fatty acids",1.825,g,9 %
"Butanoic acid",0,g,
"Decanoic acid",0.007,g,
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0.001,g,
"Hexadecanoic acid",1.135,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.483,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.002,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.031,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",3.164,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.013,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.012,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.028,g,
"Octadecenoic acid",3.096,g,
"Pentadecenoic acid",0.002,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",5.522,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.01,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",5.026,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.416,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",12.47,mg,
"Alcohol, ethyl",0,g,
"Ash",4.3,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",540.99,g,
