Nutrient,Amount,Unit,DV
Calories,216,,
"Vitamin A, RAE",10.6,mcg,1 %
"Carotene, alpha",0,mcg,
"Carotene, beta",0,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",166.65,mcg,
"Lycopene",0,mcg,
"Retinol",10.6,mcg,
"Thiamin [Vitamin B1]",0.133,mg,11 %
"Riboflavin [Vitamin B2]",0.297,mg,23 %
"Niacin [Vitamin B3]",8.419,mg,53 %
"Vitamin B6",0.683,mg,40 %
"Vitamin B12 [Cobalamin]",0.92,mcg,38 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",6.06,mcg,2 %
"Folate, food",6.06,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",7.8,mg,9 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",0.27,mg,2 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.27,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.11,mg,
"Tocotrienol, alpha",0.02,mg,
"Tocotrienol, beta",0.05,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.05,mg,
"Vitamin K",4.4,mcg,4 %
"Vitamin K1 [Phylloquinone]",4.4,mcg,
"Betaine",15.9,mg,
"Choline",81.2,mg,15 %
"Calcium",10.6,mg,1 %
"Copper",0.09,mg,10 %
"Iron",2.4,mg,13 %
"Magnesium",34.84,mg,8 %
"Manganese",0.02,mg,1 %
"Phosphorus",280.27,mg,22 %
"Potassium",366.63,mg,8 %
"Selenium",34.69,mcg,63 %
"Sodium",581.18,mg,25 %
"Zinc",2.39,mg,22 %
"Protein",29.78,g,60 %
"Alanine",1.783,g,
"Arginine",2.079,g,
"Aspartic acid",2.928,g,
"Cystine",0.348,g,
"Glutamic acid",4.88,g,
"Glycine",1.367,g,
"Histidine",0.889,g,78 %
"Isoleucine",1.423,g,92 %
"Leucine",2.538,g,74 %
"Lysine",2.81,g,91 %
"Methionine",0.851,g,
"Phenylalanine",1.189,g,
"Proline",1.201,g,
"Serine",1.247,g,
"Threonine",1.409,g,86 %
"Tryptophan",0.336,g,82 %
"Tyrosine",1.12,g,
"Valine",1.448,g,74 %
"Phenylalanine + Tyrosine",2.309,g,86 %
"Methionine + Cysteine",0.851,g,55 %
"Carbohydrate",6.48,g,2 %
"Fiber",0,g,0 %
"Sugars",3.24,g,
"Net carbs",6.48,g,
"0.08 g",1.17 g,undefined,15.38
"Fat",6.242,g,8 %
"Saturated fatty acids",1.662,g,8 %
"Butanoic acid",0.002,g,
"Decanoic acid",0.003,g,
"Docosanoic acid",0.012,g,
"Dodecanoic acid",0.005,g,
"Eicosanoic acid",0.005,g,
"Heptadecanoic acid",0.006,g,
"Hexadecanoic acid",1.209,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.382,g,
"Octanoic acid",0.002,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0.003,g,
"Tetradecanoic acid",0.03,g,
"Monounsaturated fatty acids",2.268,g,
"Cis-hexadecenoic acid",0.318,g,
"Cis-octadecenoic acid",1.886,g,
"Docosenoic acid",0.002,g,
"Docosenoic cis acid",0.002,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.026,g,
"Heptadecenoic acid",0.005,g,
"Hexadecenoic acid",0.321,g,
"Octadecenoic acid",1.904,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.002,g,
"Tetradecenoic acid",0.011,g,
"Trans-hexadecenoic acid",0.003,g,
"Trans-octadecenoic acid",0.018,g,
"Polyunsaturated fatty acids",1.424,g,
"α-linolenic acid n-3 (ALA)",0.05,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.012,g,
"Linoleic acid n-6 (LA)",1.12,g,
"Docosahexaenoic n-3 acid (DHA)",0.011,g,
"Docosapentaenoic n-3 acid (DPA)",0.012,g,
"Docosatetraenoic acid",0.032,g,
"Eicosadienoic acid",0.027,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.027,g,
"Eicosapentaenoic n-3 acid (EPA)",0.003,g,
"Eicosatetraenoic acid",0.136,g,
"Octadecadienoic CLAs acid",0.009,g,
"Octadecadienoic acid",1.133,g,
"Octadecatetraenoic acid",0.002,g,
"Octadecatrienoic acid",0.055,g,
"Trans-octadecadienoic acid",0.009,g,
"Fatty acids, total trans",0.03,g,
"Fatty acids, total trans-monoenoic",0.021,g,
"Fatty acids, total trans-polyenoic",0.009,g,
"Cholesterol",142.41,mg,47 %
"Alcohol, ethyl",0,g,
"Ash",1.44,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",115.47,g,
