Nutrient,Amount,Unit,DV
Calories,673,,
"Vitamin A, RAE",33.12,mcg,4 %
"Carotene, alpha",0,mcg,
"Carotene, beta",68.12,mcg,
"Cryptoxanthin, beta",67.8,mcg,
"Lutein + zeaxanthin",68.4,mcg,
"Lycopene",0.12,mcg,
"Retinol",27,mcg,
"Thiamin [Vitamin B1]",0.226,mg,19 %
"Riboflavin [Vitamin B2]",1.176,mg,90 %
"Niacin [Vitamin B3]",2.166,mg,14 %
"Pantothenic acid [Vitamin B5]",1.247,mg,25 %
"Vitamin B6",0.486,mg,29 %
"Vitamin B12 [Cobalamin]",1.69,mcg,70 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",31.52,mcg,8 %
"Folate, food",18.12,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",2.4,mg,3 %
"Vitamin D",0.3,mcg,2 %
"Vitamin E (alpha-tocopherol)",10.15,mg,68 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",10.15,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.12,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",8.4,mcg,7 %
"Vitamin K1 [Phylloquinone]",8.4,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",2.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",72.2,mg,13 %
"Calcium",445.8,mg,34 %
"Copper",0.5,mg,56 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",2.39,mg,13 %
"Magnesium",146.06,mg,35 %
"Manganese",1.377,mg,60 %
"Phosphorus",530.24,mg,42 %
"Potassium",1244.72,mg,26 %
"Selenium",23.32,mcg,42 %
"Sodium",241.6,mg,11 %
"Zinc",2.55,mg,23 %
"Protein",31.73,g,63 %
"Alanine",1.117,g,
"Arginine",1.623,g,
"Aspartic acid",1.037,g,
"Cystine",0.257,g,
"Cysteine",0.26,g,
"Glutamic acid",6.97,g,
"Glycine",0.894,g,
"Histidine",0.837,g,73 %
"Hydroxyproline",0,g,
"Isoleucine",1.435,g,93 %
"Leucine",2.807,g,82 %
"Lysine",2.007,g,65 %
"Methionine",0.713,g,
"Phenylalanine",1.526,g,
"Proline",2.959,g,
"Serine",1.501,g,
"Threonine",1.122,g,69 %
"Tryptophan",0.369,g,90 %
"Tyrosine",1.299,g,
"Valine",1.787,g,91 %
"Phenylalanine + Tyrosine",2.825,g,105 %
"Methionine + Cysteine",1.23,g,79 %
"Carbohydrate",99.67,g,36 %
"Fiber",18.58,g,66 %
"Starch",0.36,g,
"Sugars",71.84,g,
"Fructose",35.88,g,
"Galactose",0,g,
"Glucose",10.08,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",16.8,g,
"Net carbs",81.09,g,
"Fat",17.9,g,23 %
"Saturated fatty acids",1.53,g,8 %
"Butanoic acid",0,g,
"Decanoic acid",0.012,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",10.393,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",4.056,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.012,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0,g,
"Trans-octadecadienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",11.3,mg,4 %
"Phytosterols",1.2,mg,
"Alcohol, ethyl",0,g,
"Ash",1.2,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",773.86,g,
