Nutrient,Amount,Unit,DV
Calories,425,,
"Vitamin A, RAE",54.64,mcg,6 %
"Carotene, alpha",0,mcg,
"Carotene, beta",10.66,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",30,mcg,
"Lycopene",0,mcg,
"Retinol",54,mcg,
"Thiamin [Vitamin B1]",0.096,mg,8 %
"Riboflavin [Vitamin B2]",0.135,mg,10 %
"Niacin [Vitamin B3]",5.498,mg,34 %
"Pantothenic acid [Vitamin B5]",0.672,mg,13 %
"Vitamin B6",0.304,mg,18 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",69.28,mcg,17 %
"Folate, food",7.6,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.3,mg,0 %
"Vitamin D",0.6,mcg,3 %
"Vitamin E (alpha-tocopherol)",3.5,mg,23 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.5,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.02,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",3.4,mcg,3 %
"Vitamin K1 [Phylloquinone]",1.1,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.3,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",26.5,mg,5 %
"Calcium",187.86,mg,14 %
"Copper",0.86,mg,96 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",3.44,mg,19 %
"Magnesium",155.38,mg,37 %
"Manganese",1.665,mg,72 %
"Phosphorus",288.91,mg,23 %
"Potassium",765.2,mg,16 %
"Selenium",7.98,mcg,15 %
"Sodium",312.44,mg,14 %
"Zinc",2.26,mg,21 %
"Protein",15.93,g,32 %
"Alanine",0.65,g,
"Arginine",1.552,g,
"Aspartic acid",1.812,g,
"Cystine",0.218,g,
"Cysteine",0.19,g,
"Glutamic acid",2.952,g,
"Glycine",0.81,g,
"Histidine",0.378,g,33 %
"Hydroxyproline",0,g,
"Isoleucine",0.583,g,38 %
"Leucine",1.008,g,29 %
"Lysine",0.726,g,23 %
"Methionine",0.188,g,
"Phenylalanine",0.784,g,
"Proline",0.688,g,
"Serine",0.737,g,
"Threonine",0.549,g,34 %
"Tryptophan",0.163,g,40 %
"Tyrosine",0.523,g,
"Valine",0.692,g,35 %
"Phenylalanine + Tyrosine",1.307,g,49 %
"Methionine + Cysteine",0.596,g,38 %
"Carbohydrate",59.36,g,22 %
"Fiber",14.63,g,52 %
"Sugars",30.16,g,
"Fructose",7.82,g,
"Galactose",0,g,
"Glucose",7.95,g,
"Lactose",0,g,
"Maltose",0.05,g,
"Sucrose",9.54,g,
"Net carbs",44.73,g,
"Fat",19.904,g,26 %
"Saturated fatty acids",3.677,g,18 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.007,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.004,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",9.627,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0.014,g,
"Pentadecenoic acid",0,g,
"Tetradecenoic acid",0,g,
"Polyunsaturated fatty acids",3.945,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0.006,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.001,g,
"Fatty acids, total trans",0,g,
"Cholesterol",0,mg,0 %
"Alcohol, ethyl",0,g,
"Ash",0.64,g,
"Caffeine",28.75,mg,
"Theobromine",0,mg,
"Water",109.56,g,
