Nutrient,Amount,Unit,DV
Calories,238,,
"Vitamin A, RAE",6.98,mcg,1 %
"Carotene, alpha",0.79,mcg,
"Carotene, beta",2.92,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",0,mcg,
"Lycopene",0,mcg,
"Retinol",6.75,mcg,
"Thiamin [Vitamin B1]",0.142,mg,12 %
"Riboflavin [Vitamin B2]",0.253,mg,19 %
"Niacin [Vitamin B3]",0.402,mg,3 %
"Pantothenic acid [Vitamin B5]",0.822,mg,16 %
"Vitamin B6",0.145,mg,9 %
"Vitamin B12 [Cobalamin]",0.3,mcg,12 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",8.07,mcg,2 %
"Folate, food",0.16,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.1,mg,0 %
"Vitamin D",0.07,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.41,mg,3 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.41,mg,
"Vitamin K",6.4,mcg,5 %
"Vitamin K1 [Phylloquinone]",0,mcg,
"Betaine",0.1,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",36.3,mg,7 %
"Calcium",61.78,mg,5 %
"Copper",0.46,mg,51 %
"Fluoride",0.6,mcg,
"Iodine",0,mcg,0 %
"Iron",2.12,mg,12 %
"Magnesium",86.51,mg,21 %
"Manganese",0.433,mg,19 %
"Phosphorus",272.72,mg,22 %
"Potassium",234.8,mg,5 %
"Selenium",6.7,mcg,12 %
"Sodium",190.7,mg,8 %
"Zinc",1.9,mg,17 %
"Protein",11.96,g,24 %
"Alanine",0.582,g,
"Arginine",0.611,g,
"Aspartic acid",1.262,g,
"Cystine",0.242,g,
"Cysteine",0.24,g,
"Glutamic acid",2.286,g,
"Glycine",0.343,g,
"Histidine",0.246,g,22 %
"Hydroxyproline",0,g,
"Isoleucine",0.659,g,42 %
"Leucine",1.165,g,34 %
"Lysine",0.936,g,30 %
"Methionine",0.239,g,
"Phenylalanine",0.448,g,
"Proline",0.657,g,
"Serine",0.618,g,
"Threonine",0.695,g,43 %
"Tryptophan",0.198,g,48 %
"Tyrosine",0.348,g,
"Valine",0.716,g,37 %
"Phenylalanine + Tyrosine",0.796,g,30 %
"Methionine + Cysteine",0.721,g,46 %
"Carbohydrate",18.9,g,7 %
"Fiber",1.35,g,5 %
"Sugars",13.46,g,
"Fructose",3.22,g,
"Galactose",0.24,g,
"Glucose",2.82,g,
"Maltose",0.11,g,
"Sucrose",0.07,g,
"Net carbs",17.55,g,
"Fat",13.399,g,17 %
"Saturated fatty acids",5.308,g,27 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Dodecanoic acid",0,g,
"Hexadecanoic acid",0,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0,g,
"Octanoic acid",0,g,
"Tetradecanoic acid",0,g,
"Monounsaturated fatty acids",5.143,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Hexadecenoic acid",0,g,
"Octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.629,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",0,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.014,g,
"Cholesterol",27.27,mg,9 %
"Phytosterols",0,mg,
"Alcohol, ethyl",0.2,g,
"Ash",0.21,g,
"Caffeine",4.84,mg,
"Theobromine",55.46,mg,
"Water",11.09,g,
