Nutrient,Amount,Unit,DV
Calories,143,,
"Vitamin A, RAE",762.97,mcg,85 %
"Carotene, alpha",30.45,mcg,
"Carotene, beta",9040.58,mcg,
"Cryptoxanthin, beta",206.19,mcg,
"Lutein + zeaxanthin",137.78,mcg,
"Lycopene",0.17,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.12,mg,10 %
"Riboflavin [Vitamin B2]",0.121,mg,9 %
"Niacin [Vitamin B3]",1.08,mg,7 %
"Pantothenic acid [Vitamin B5]",0.96,mg,19 %
"Vitamin B6",0.393,mg,23 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",32.26,mcg,8 %
"Folate, food",32.21,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",43.7,mg,49 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.66,mg,11 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.66,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.1,mg,
"Tocotrienol, alpha",0.06,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.02,mg,
"Vitamin K",12.2,mcg,10 %
"Vitamin K1 [Phylloquinone]",10.2,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",18,mg,3 %
"Calcium",52.83,mg,4 %
"Copper",0.19,mg,21 %
"Fluoride",0.3,mcg,
"Iodine",0,mcg,0 %
"Iron",1.23,mg,7 %
"Magnesium",37.11,mg,9 %
"Manganese",0.454,mg,20 %
"Phosphorus",77.02,mg,6 %
"Potassium",496.94,mg,11 %
"Selenium",1.52,mcg,3 %
"Sodium",413.74,mg,18 %
"Zinc",0.55,mg,5 %
"Protein",2.82,g,6 %
"Alanine",0.119,g,
"Arginine",0.164,g,
"Aspartic acid",0.556,g,
"Cystine",0.034,g,
"Cysteine",0,g,
"Glutamic acid",0.401,g,
"Glycine",0.106,g,
"Histidine",0.051,g,4 %
"Hydroxyproline",0,g,
"Isoleucine",0.09,g,6 %
"Leucine",0.148,g,4 %
"Lysine",0.117,g,4 %
"Methionine",0.04,g,
"Phenylalanine",0.136,g,
"Proline",0.115,g,
"Serine",0.133,g,
"Threonine",0.12,g,7 %
"Tryptophan",0.042,g,10 %
"Tyrosine",0.056,g,
"Valine",0.132,g,7 %
"Phenylalanine + Tyrosine",0.192,g,7 %
"Methionine + Cysteine",0.04,g,3 %
"Carbohydrate",26.59,g,10 %
"Fiber",4.81,g,17 %
"Starch",12.33,g,
"Sugars",6.73,g,
"Fructose",1.79,g,
"Galactose",0,g,
"Glucose",2.1,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",2.8,g,
"Net carbs",21.78,g,
"0.01 g",,undefined,0.00
"Fat",3.514,g,5 %
"Saturated fatty acids",0.521,g,3 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0,g,
"Dodecanoic acid",0.001,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.071,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.009,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.003,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",2.325,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0.036,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.002,g,
"Octadecenoic acid",0.042,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.516,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.149,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.034,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Cholesterol",0,mg,0 %
"Phytosterols",18.1,mg,
"Alcohol, ethyl",0,g,
"Ash",1.93,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",130.46,g,
