Nutrient,Amount,Unit,DV
Calories,127,,
"Vitamin A, RAE",678.43,mcg,75 %
"Carotene, alpha",74.34,mcg,
"Carotene, beta",7563.74,mcg,
"Cryptoxanthin, beta",0,mcg,
"Lutein + zeaxanthin",2691.5,mcg,
"Lycopene",1458.87,mcg,
"Retinol",26.58,mcg,
"Thiamin [Vitamin B1]",0.196,mg,16 %
"Riboflavin [Vitamin B2]",0.342,mg,26 %
"Niacin [Vitamin B3]",1.76,mg,11 %
"Pantothenic acid [Vitamin B5]",0.667,mg,13 %
"Vitamin B6",0.506,mg,30 %
"Vitamin B12 [Cobalamin]",0.36,mcg,15 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",210.31,mcg,53 %
"Folate, food",170.29,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",121.2,mg,135 %
"Vitamin D",0.09,mcg,0 %
"Vitamin D3",0.09,mcg,
"Vitamin E (alpha-tocopherol)",1.86,mg,12 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.86,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.41,mg,
"Tocotrienol, alpha",0.05,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",126.2,mcg,105 %
"Vitamin K1 [Phylloquinone]",121.1,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.4,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",24.9,mg,5 %
"Calcium",162.62,mg,13 %
"Copper",0.13,mg,14 %
"Fluoride",0.2,mcg,
"Iodine",0,mcg,0 %
"Iron",1.96,mg,11 %
"Magnesium",40.14,mg,10 %
"Manganese",0.39,mg,17 %
"Phosphorus",153.48,mg,12 %
"Potassium",648.01,mg,14 %
"Selenium",4.35,mcg,8 %
"Sodium",699.53,mg,30 %
"Zinc",1.29,mg,12 %
"Protein",6.23,g,12 %
"Alanine",0.237,g,
"Arginine",0.276,g,
"Aspartic acid",0.615,g,
"Cystine",0.048,g,
"Cysteine",0.02,g,
"Glutamic acid",0.994,g,
"Glycine",0.116,g,
"Histidine",0.13,g,11 %
"Hydroxyproline",0,g,
"Isoleucine",0.251,g,16 %
"Leucine",0.435,g,13 %
"Lysine",0.384,g,12 %
"Methionine",0.104,g,
"Phenylalanine",0.276,g,
"Proline",0.405,g,
"Serine",0.363,g,
"Threonine",0.228,g,14 %
"Tryptophan",0.067,g,16 %
"Tyrosine",0.191,g,
"Valine",0.332,g,17 %
"Phenylalanine + Tyrosine",0.467,g,17 %
"Methionine + Cysteine",0.124,g,8 %
"Carbohydrate",16.02,g,6 %
"Fiber",5.35,g,19 %
"Starch",0,g,
"Sugars",6.55,g,
"Fructose",0.93,g,
"Galactose",0,g,
"Glucose",0.45,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.05,g,
"Net carbs",10.67,g,
"Fat",5.322,g,7 %
"Saturated fatty acids",2.955,g,15 %
"Butanoic acid",0.152,g,
"Decanoic acid",0.387,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.227,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",1.062,g,
"Hexanoic acid",0.112,g,
"Octadecanoic acid",0.303,g,
"Octanoic acid",0.107,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.541,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",1.029,g,
"Cis-octadecenoic acid",0.002,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.086,g,
"Octadecenoic acid",0.874,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.5,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.001,g,
"Octadecadienoic acid",0.17,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.186,g,
"Fatty acids, total trans",0,g,
"Cholesterol",18.92,mg,6 %
"Phytosterols",1.04,mg,
"Alcohol, ethyl",0,g,
"Ash",1.82,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",251.26,g,
