Nutrient,Amount,Unit,DV
Calories,430,,
"Vitamin A, RAE",557.02,mcg,62 %
"Carotene, alpha",94.26,mcg,
"Carotene, beta",2960.19,mcg,
"Cryptoxanthin, beta",844.42,mcg,
"Lutein + zeaxanthin",514.9,mcg,
"Lutein",347.07,mcg,
"Lycopene",0.8,mcg,
"Retinol",270.11,mcg,
"Zeaxanthin",345.56,mcg,
"cis-Lutein/Zeaxanthin",86.01,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.272,mg,23 %
"Riboflavin [Vitamin B2]",0.825,mg,63 %
"Niacin [Vitamin B3]",1.893,mg,12 %
"Pantothenic acid [Vitamin B5]",0.654,mg,13 %
"Vitamin B6",0.753,mg,44 %
"Vitamin B12 [Cobalamin]",1.54,mcg,64 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",81.19,mcg,20 %
"Folate, food",81.19,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",161.9,mg,180 %
"Vitamin D",3.71,mcg,19 %
"Vitamin D2",0,mcg,
"Vitamin D3",3.71,mcg,
"Vitamin E (alpha-tocopherol)",3.66,mg,24 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.66,mg,
"Tocopherol, beta",0.08,mg,
"Tocopherol, delta",0.02,mg,
"Tocopherol, gamma",0.42,mg,
"Tocotrienol, alpha",0.22,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.08,mg,
"Vitamin K",13,mcg,11 %
"Vitamin K1 [Phylloquinone]",13,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",1.3,mg,
"Choline",525,mg,95 %
"Calcium",137.43,mg,11 %
"Copper",0.16,mg,18 %
"Fluoride",1.6,mcg,
"Iodine",74.09,mcg,49 %
"Iron",4.61,mg,26 %
"Magnesium",57.79,mg,14 %
"Manganese",0.569,mg,25 %
"Phosphorus",378.46,mg,30 %
"Potassium",794.1,mg,17 %
"Selenium",49.43,mcg,90 %
"Sodium",917.37,mg,40 %
"Zinc",2.78,mg,25 %
"Protein",26.09,g,52 %
"Alanine",1.114,g,
"Arginine",1.533,g,
"Aspartic acid",2.56,g,
"Cystine",0.049,g,
"Cysteine",0.58,g,
"Glutamic acid",3.271,g,
"Glycine",0.739,g,
"Histidine",0.487,g,43 %
"Hydroxyproline",0,g,
"Isoleucine",1.014,g,65 %
"Leucine",1.733,g,51 %
"Lysine",1.406,g,45 %
"Methionine",0.655,g,
"Phenylalanine",1.136,g,
"Proline",1.049,g,
"Serine",1.514,g,
"Threonine",1.003,g,61 %
"Tryptophan",0.289,g,71 %
