Nutrient,Amount,Unit,DV
Calories,208,,
"Vitamin A, RAE",27,mcg,3 %
"Carotene, alpha",0,mcg,
"Carotene, beta",0,mcg,
"Retinol",27,mcg,
"Thiamin [Vitamin B1]",0.218,mg,18 %
"Riboflavin [Vitamin B2]",0.517,mg,40 %
"Niacin [Vitamin B3]",3.179,mg,20 %
"Pantothenic acid [Vitamin B5]",1.403,mg,28 %
"Vitamin B6",0.205,mg,12 %
"Vitamin B12 [Cobalamin]",0.78,mcg,32 %
"Folate, DFE [Vitamin B9]",42.73,mcg,11 %
"Vitamin C [Ascorbic acid]",0,mg,0 %
"Vitamin D",0.3,mcg,2 %
"Vitamin E (alpha-tocopherol)",0.86,mg,6 %
"Tocopherol, alpha",0.86,mg,
"Vitamin K",0.1,mcg,0 %
"Betaine",0.5,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",43.7,mg,8 %
"Calcium",236.77,mg,18 %
"Copper",0.69,mg,77 %
"Fluoride",0,mcg,
"Iodine",0,mcg,0 %
"Iron",2.09,mg,12 %
"Magnesium",73.73,mg,18 %
"Manganese",1.213,mg,53 %
"Phosphorus",435.75,mg,35 %
"Potassium",565.52,mg,12 %
"Selenium",11.92,mcg,22 %
"Sodium",72.78,mg,3 %
"Zinc",3.02,mg,27 %
"Protein",31.78,g,64 %
"Alanine",1.31,g,
"Arginine",2.234,g,
"Aspartic acid",3.06,g,
"Cystine",0.487,g,
"Cysteine",0.49,g,
"Glutamic acid",6.236,g,
"Glycine",1.183,g,
"Histidine",0.767,g,67 %
"Hydroxyproline",0,g,
"Isoleucine",1.504,g,97 %
"Leucine",2.845,g,83 %
"Lysine",2.117,g,68 %
"Methionine",0.582,g,
"Phenylalanine",1.433,g,
"Proline",2.294,g,
"Serine",1.704,g,
"Threonine",1.411,g,86 %
"Tryptophan",0.418,g,102 %
"Tyrosine",1.22,g,
"Valine",1.667,g,85 %
"Phenylalanine + Tyrosine",2.653,g,98 %
"Methionine + Cysteine",1.559,g,100 %
"Carbohydrate",13.27,g,5 %
"Fiber",5.69,g,20 %
"Sugars",4.11,g,
"Net carbs",7.58,g,
"Fat",5.093,g,7 %
"Saturated fatty acids",1.365,g,7 %
"Monounsaturated fatty acids",2.016,g,
"Polyunsaturated fatty acids",1.223,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Fatty acids, total trans",0,g,
"Cholesterol",41.47,mg,14 %
"Alcohol, ethyl",0,g,
"Caffeine",11.5,mg,
"Theobromine",102.85,mg,
"Water",81.34,g,
