Nutrient,Amount,Unit,DV
Calories,553,,
"Vitamin A, RAE",1722,mcg,191 %
"Carotene, alpha",8543,mcg,
"Carotene, beta",14560,mcg,
"Cryptoxanthin, beta",19,mcg,
"Lutein + zeaxanthin",1160,mcg,
"Lycopene",0,mcg,
"Retinol",146,mcg,
"Thiamin [Vitamin B1]",0.456,mg,38 %
"Riboflavin [Vitamin B2]",0.687,mg,53 %
"Niacin [Vitamin B3]",2.63,mg,16 %
"Pantothenic acid [Vitamin B5]",2.224,mg,44 %
"Vitamin B6",0.837,mg,49 %
"Vitamin B12 [Cobalamin]",1.2,mcg,50 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",99,mcg,25 %
"Folate, food",80,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",6.8,mg,8 %
"Vitamin D",2.9,mcg,14 %
"Vitamin E (alpha-tocopherol)",1.19,mg,8 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.19,mg,
"Tocopherol, beta",0.04,mg,
"Tocopherol, delta",0.16,mg,
"Tocopherol, gamma",6.64,mg,
"Tocotrienol, alpha",0.08,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0.02,mg,
"Tocotrienol, gamma",0.89,mg,
"Vitamin K",29.7,mcg,25 %
"Vitamin K1 [Phylloquinone]",27.2,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.4,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",116.2,mg,21 %
"Calcium",521,mg,40 %
"Copper",1.36,mg,151 %
"Fluoride",7.4,mcg,
"Iodine",0,mcg,0 %
"Iron",8.93,mg,50 %
"Magnesium",195,mg,46 %
"Manganese",2.159,mg,94 %
"Phosphorus",847,mg,68 %
"Potassium",1661,mg,35 %
"Selenium",18.07,mcg,33 %
"Sodium",512,mg,22 %
"Zinc",6.01,mg,55 %
"Protein",41.54,g,83 %
"Histidine",0.931,g,81 %
"Isoleucine",1.69,g,109 %
"Leucine",2.847,g,83 %
"Lysine",2.577,g,83 %
"Methionine",0.714,g,
"Phenylalanine",1.761,g,
"Threonine",1.577,g,97 %
"Tryptophan",0.382,g,94 %
"Valine",2.109,g,108 %
"Phenylalanine + Tyrosine",2.912,g,108 %
"Methionine + Cysteine",1.223,g,79 %
"Arginine",2.939,g,
"Cystine",0.309,g,
"Cysteine",0.2,g,
"Glutamic acid",6.976,g,
"Glycine",1.394,g,
"Proline",1.958,g,
"Tyrosine",1.151,g,
"Alanine",1.806,g,
"Aspartic acid",3.855,g,
"Hydroxyproline",0.027,g,
"Carbohydrate",75.59,g,27 %
"Fiber",22.92,g,82 %
"Starch",0.48,g,
"Sugars",45,g,
"Fructose",12.53,g,
"Galactose",0,g,
"Glucose",5.29,g,
"Lactose",0,g,
"Maltose",0.04,g,
"Sucrose",12.96,g,
"Net carbs",52.67,g,
"Fat",14.838,g,19 %
"Saturated fatty acids",2.276,g,11 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.007,g,
"Dodecanoic acid",0.005,g,
"Eicosanoic acid",0.009,g,
"Heptadecanoic acid",0.003,g,
"Hexadecanoic acid",1.459,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.16,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0.003,g,
"Tetradecanoic acid",0.005,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",7.296,g,
"Docosenoic acid",0.001,g,
"Eicosenoic acid",0.03,g,
"Heptadecenoic acid",0.006,g,
"Hexadecenoic acid",0.137,g,
"Octadecenoic acid",6.794,g,
"Pentadecenoic acid",0.003,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.001,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",4.173,g,
"α-linolenic acid n-3 (ALA)",0.06,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",3.721,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Eicosadienoic acid",0.001,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.001,g,
"Octadecadienoic acid",3.85,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.078,g,
"Trans-octadecadienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Beta-sitosterol",60,mg,
"Campesterol",3,mg,
"Cholesterol",5,mg,2 %
"Stigmasterol",1,mg,
"Alcohol, ethyl",0,g,
"Ash",2.84,g,
"Caffeine",12,mg,
"Serine",1.796,g,
"Theobromine",103,mg,
"Water",359.2,g,
