Nutrient,Amount,Unit,DV
Calories,396,,
"Vitamin A, RAE",184.78,mcg,21 %
"Carotene, alpha",80.58,mcg,
"Carotene, beta",1582.18,mcg,
"Cryptoxanthin, beta",111.28,mcg,
"Lutein + zeaxanthin",673.22,mcg,
"Lycopene",1286.69,mcg,
"Retinol",44.86,mcg,
"Thiamin [Vitamin B1]",0.266,mg,22 %
"Riboflavin [Vitamin B2]",0.556,mg,43 %
"Niacin [Vitamin B3]",15.511,mg,97 %
"Pantothenic acid [Vitamin B5]",2.583,mg,52 %
"Vitamin B6",1.561,mg,92 %
"Vitamin B12 [Cobalamin]",0.74,mcg,31 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",70.78,mcg,18 %
"Folate, food",70.78,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",16.6,mg,18 %
"Vitamin D",0.1,mcg,0 %
"Vitamin D3",0.1,mcg,
"Vitamin E (alpha-tocopherol)",2.06,mg,14 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.06,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.21,mg,
"Tocotrienol, alpha",0.09,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.03,mg,
"Vitamin K",57.4,mcg,48 %
"Vitamin K1 [Phylloquinone]",44.7,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",10.8,mg,
"Choline",141.2,mg,26 %
"Calcium",203.26,mg,16 %
"Copper",0.28,mg,31 %
"Fluoride",0.2,mcg,
"Iron",2.91,mg,16 %
"Magnesium",79.81,mg,19 %
"Manganese",0.483,mg,21 %
"Phosphorus",493.46,mg,39 %
"Potassium",906.92,mg,19 %
"Selenium",40.67,mcg,74 %
"Sodium",1426.93,mg,62 %
"Zinc",2.47,mg,22 %
"Protein",43.39,g,87 %
"Alanine",2.298,g,
"Arginine",2.807,g,
"Aspartic acid",3.848,g,
"Cystine",0.429,g,
"Glutamic acid",6.337,g,
"Glycine",1.684,g,
"Histidine",1.464,g,128 %
"Hydroxyproline",0,g,
"Isoleucine",2.021,g,130 %
"Leucine",3.413,g,100 %
"Lysine",3.811,g,123 %
"Methionine",1.022,g,
"Phenylalanine",1.728,g,
"Proline",1.618,g,
"Serine",1.763,g,
"Threonine",1.816,g,111 %
"Tryptophan",0.515,g,126 %
"Tyrosine",1.484,g,
"Valine",2.184,g,111 %
"Phenylalanine + Tyrosine",3.212,g,119 %
"Methionine + Cysteine",1.022,g,66 %
"Carbohydrate",26.94,g,10 %
"Fiber",7.84,g,28 %
"Starch",0,g,
"Sugars",8.52,g,
"Fructose",0.38,g,
"Galactose",0,g,
"Glucose",0.42,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.28,g,
"Net carbs",19.1,g,
"0.05 g",0.51 g,undefined,10.14
"Fat",13.168,g,17 %
"Saturated fatty acids",4.673,g,23 %
"Butanoic acid",0.178,g,
"Decanoic acid",0.482,g,
"Docosanoic acid",0.007,g,
"Dodecanoic acid",0.275,g,
"Eicosanoic acid",0.003,g,
"Heptadecanoic acid",0.005,g,
"Hexadecanoic acid",1.926,g,
"Hexanoic acid",0.132,g,
"Octadecanoic acid",0.569,g,
"Octanoic acid",0.126,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.661,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",4.011,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.931,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.015,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.227,g,
"Octadecenoic acid",2.162,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.005,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.009,g,
"Polyunsaturated fatty acids",1.682,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.018,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.074,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",1.173,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.138,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.011,g,
"Fatty acids, total trans-monoenoic",0.009,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",132.62,mg,44 %
"Phytosterols",6.94,mg,
"Alcohol, ethyl",0,g,
"Ash",4.77,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",285.43,g,
