Nutrient,Amount,Unit,DV
Calories,97,,
"Vitamin A, RAE",4.62,mcg,1 %
"Carotene, alpha",0.00,mcg,
"Carotene, beta",58.52,mcg,
"Cryptoxanthin, beta",0.00,mcg,
"Lutein + zeaxanthin",130.90,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.042,mg,4 %
"Riboflavin [Vitamin B2]",0.051,mg,4 %
"Niacin [Vitamin B3]",0.237,mg,1 %
"Pantothenic acid [Vitamin B5]",0.306,mg,6 %
"Vitamin B6",0.075,mg,4 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Vitamin B12, added",0.00,mcg,
"Folate, DFE [Vitamin B9]",6.16,mcg,2 %
"Folate, food",6.16,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",10.8,mg,12 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.11,mg,1 %
"Vitamin E, added",0.00,mg,
"Tocopherol, alpha",0.11,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0.00,mg,
"Tocopherol, gamma",0.06,mg,
"Tocotrienol, alpha",0.05,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",3.2,mcg,3 %
"Vitamin K1 [Phylloquinone]",3.2,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Choline",9.4,mg,2 %
"Calcium",20.02,mg,2 %
"Copper",0.09,mg,10 %
"Fluoride",3.1,mcg,
"Iron",0.55,mg,3 %
"Magnesium",16.94,mg,4 %
"Manganese",0.108,mg,5 %
"Phosphorus",32.34,mg,3 %
"Potassium",341.88,mg,7 %
"Selenium",0.00,mcg,0 %
"Sodium",0.00,mg,0 %
"Zinc",0.11,mg,1 %
"Protein",1.63,g,3 %
"Alanine",0.040,g,
"Arginine",0.028,g,
"Aspartic acid",0.876,g,
"Cystine",0.015,g,
"Glutamic acid",0.128,g,
"Glycine",0.035,g,
"Histidine",0.023,g,2 %
"Isoleucine",0.031,g,2 %
"Leucine",0.046,g,1 %
"Lysine",0.049,g,2 %
"Methionine",0.015,g,
"Phenylalanine",0.037,g,
"Proline",0.060,g,
"Serine",0.046,g,
"Threonine",0.034,g,2 %
"Tryptophan",0.014,g,3 %
"Tyrosine",0.022,g,
"Valine",0.037,g,2 %
"Phenylalanine + Tyrosine",0.059,g,2 %
"Methionine + Cysteine",0.015,g,1 %
"Carbohydrate",24.66,g,9 %
"Fiber",3.23,g,12 %
"Starch",0.00,g,
"Sugars",19.74,g,
"Fructose",8.27,g,
"Galactose",0.91,g,
"Glucose",10.15,g,
"Lactose",0.00,g,
"Maltose",0.18,g,
"Sucrose",0.23,g,
"Net carbs",21.43,g,
"Fat",0.308,g,0 %
"Saturated fatty acids",0.059,g,0 %
"Butanoic acid",0.000,g,
"Decanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Hexadecanoic acid",0.042,g,
"Hexanoic acid",0.000,g,
"Octadecanoic acid",0.014,g,
"Octanoic acid",0.000,g,
"Tetradecanoic acid",0.002,g,
"Monounsaturated fatty acids",0.072,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.000,g,
"Hexadecenoic acid",0.002,g,
"Octadecenoic acid",0.072,g,
"Polyunsaturated fatty acids",0.080,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",0.042,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.040,g,
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %
"Phytosterols",18.48,mg,
"Alcohol, ethyl",0.0,g,
"Ash",0.74,g,
"Caffeine",0.00,mg,
"Theobromine",0.00,mg,
"Water",126.67,g,
