Nutrient,Amount,Unit,DV
Calories,114,,
"Vitamin A, RAE",4.76,mcg,1 %
"Carotene, alpha",16.32,mcg,
"Carotene, beta",42.84,mcg,
"Cryptoxanthin, beta",18.36,mcg,
"Lutein + zeaxanthin",184.28,mcg,
"Lycopene",0.00,mcg,
"Retinol",0.00,mcg,
"Thiamin [Vitamin B1]",0.051,mg,4 %
"Riboflavin [Vitamin B2]",0.097,mg,7 %
"Niacin [Vitamin B3]",1.300,mg,8 %
"Pantothenic acid [Vitamin B5]",0.995,mg,20 %
"Vitamin B6",0.195,mg,11 %
"Vitamin B12 [Cobalamin]",0.00,mcg,0 %
"Folate, DFE [Vitamin B9]",60.52,mcg,15 %
"Folate, food",60.52,mcg,
"Folic acid",0.00,mcg,
"Vitamin C [Ascorbic acid]",6.0,mg,7 %
"Vitamin D",0.00,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.34,mg,9 %
"Tocopherol, alpha",1.34,mg,
"Tocopherol, beta",0.03,mg,
"Tocopherol, delta",0.01,mg,
"Tocopherol, gamma",0.22,mg,
"Tocotrienol, alpha",0.01,mg,
"Tocotrienol, beta",0.00,mg,
"Tocotrienol, delta",0.00,mg,
"Tocotrienol, gamma",0.00,mg,
"Vitamin K",14.3,mcg,12 %
"Vitamin K1 [Phylloquinone]",14.3,mcg,
"Dihydrophylloquinone",0.0,mcg,
"Betaine",0.5,mg,
"Choline",9.7,mg,2 %
"Calcium",8.84,mg,1 %
"Copper",0.12,mg,13 %
"Iron",0.41,mg,2 %
"Magnesium",19.72,mg,5 %
"Manganese",0.101,mg,4 %
"Phosphorus",36.72,mg,3 %
"Potassium",344.76,mg,7 %
"Selenium",0.27,mcg,0 %
"Sodium",5.44,mg,0 %
"Zinc",0.46,mg,4 %
"Protein",1.33,g,3 %
"Alanine",0.072,g,
"Arginine",0.059,g,
"Aspartic acid",0.158,g,
"Cystine",0.018,g,
"Glutamic acid",0.192,g,
"Glycine",0.069,g,
"Histidine",0.033,g,3 %
"Isoleucine",0.056,g,4 %
"Leucine",0.096,g,3 %
"Lysine",0.088,g,3 %
"Methionine",0.025,g,
"Phenylalanine",0.065,g,
"Proline",0.065,g,
"Serine",0.076,g,
"Threonine",0.049,g,3 %
"Tryptophan",0.017,g,4 %
"Tyrosine",0.033,g,
"Valine",0.071,g,4 %
"Phenylalanine + Tyrosine",0.098,g,4 %
"Methionine + Cysteine",0.025,g,2 %
"Carbohydrate",5.88,g,2 %
"Fiber",4.62,g,16 %
"Starch",0.07,g,
"Sugars",0.20,g,
"Fructose",0.05,g,
"Galactose",0.05,g,
"Glucose",0.05,g,
"Lactose",0.00,g,
"Maltose",0.00,g,
"Sucrose",0.04,g,
"Net carbs",1.26,g,
"0.08 g",0.01 g,undefined,0.12
"Fat",10.479,g,13 %
"Saturated fatty acids",1.446,g,7 %
"Decanoic acid",0.000,g,
"Docosanoic acid",0.000,g,
"Dodecanoic acid",0.000,g,
"Eicosanoic acid",0.000,g,
"Heptadecanoic acid",0.000,g,
"Hexadecanoic acid",1.411,g,
"Octadecanoic acid",0.033,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0.000,g,
"Tetracosanoic acid",0.000,g,
"Tetradecanoic acid",0.000,g,
"Monounsaturated fatty acids",6.663,g,
"Docosenoic acid",0.000,g,
"Eicosenoic acid",0.017,g,
"Heptadecenoic acid",0.007,g,
"Hexadecenoic acid",0.475,g,
"Octadecenoic acid",6.165,g,
"Pentadecenoic acid",0.000,g,
"Tetradecenoic acid",0.000,g,
"Polyunsaturated fatty acids",1.235,g,
"α-linolenic acid n-3 (ALA)",0.08,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.000,g,
"Docosahexaenoic n-3 acid (DHA)",0.000,g,
"Docosapentaenoic n-3 acid (DPA)",0.000,g,
"Eicosadienoic acid",0.011,g,
"Eicosapentaenoic n-3 acid (EPA)",0.000,g,
"Eicosatetraenoic acid",0.000,g,
"Octadecadienoic acid",1.138,g,
"Octadecatetraenoic acid",0.000,g,
"Octadecatrienoic acid",0.085,g,
"Fatty acids, total trans",0.000,g,
"Beta-sitosterol",51.68,mg,
"Campesterol",3.40,mg,
"Cholesterol",0.00,mg,0 %
"Stigmasterol",1.36,mg,
"Ash",1.13,g,
"Water",49.18,g,
